condition,outcome,ate
Corporate reliance,trust_multidimensional,2.6
Corporate reliance,trust_post,2.7
Corporate reliance,distrust_post,-2.0
Corporate reliance,funding_perceptions,0.6
Corporate reliance,policy_role_mean,1.5
Corporate reliance,inst_trust_mean,1.5
Corporate reliance,belief_post,1.6
Corporate reliance,concern_mean,1.2
Corporate reliance,policy_general,1.2
Corporate reliance,policy_specific_mean,1.0
Corporate reliance,behavior_mean,0.6
Corporate reliance,donation_ams,1.0
Corporate reliance,newsletter_signup,0.4
Social justice,trust_multidimensional,1.0
Social justice,trust_post,1.2
Social justice,distrust_post,-0.6
Social justice,funding_perceptions,1.4
Social justice,policy_role_mean,0.8
Social justice,inst_trust_mean,0.4
Social justice,belief_post,1.2
Social justice,concern_mean,1.6
Social justice,policy_general,1.6
Social justice,policy_specific_mean,1.3
Social justice,behavior_mean,0.7
Social justice,donation_ams,0.6
Social justice,newsletter_signup,0.3
Interview Prof. Maraun,trust_multidimensional,2.4
Interview Prof. Maraun,trust_post,2.3
Interview Prof. Maraun,distrust_post,-1.8
Interview Prof. Maraun,funding_perceptions,0.8
Interview Prof. Maraun,policy_role_mean,1.3
Interview Prof. Maraun,inst_trust_mean,1.3
Interview Prof. Maraun,belief_post,1.2
Interview Prof. Maraun,concern_mean,1.0
Interview Prof. Maraun,policy_general,0.9
Interview Prof. Maraun,policy_specific_mean,0.8
Interview Prof. Maraun,behavior_mean,0.5
Interview Prof. Maraun,donation_ams,0.7
Interview Prof. Maraun,newsletter_signup,0.3
Funding,trust_multidimensional,2.8
Funding,trust_post,2.8
Funding,distrust_post,-2.2
Funding,funding_perceptions,7.5
Funding,policy_role_mean,2.0
Funding,inst_trust_mean,1.6
Funding,belief_post,1.4
Funding,concern_mean,1.1
Funding,policy_general,1.2
Funding,policy_specific_mean,1.0
Funding,behavior_mean,0.6
Funding,donation_ams,1.1
Funding,newsletter_signup,0.4
Oil industry misinformation,trust_multidimensional,2.7
Oil industry misinformation,trust_post,3.0
Oil industry misinformation,distrust_post,-2.2
Oil industry misinformation,funding_perceptions,2.2
Oil industry misinformation,policy_role_mean,1.7
Oil industry misinformation,inst_trust_mean,1.3
Oil industry misinformation,belief_post,2.4
Oil industry misinformation,concern_mean,2.2
Oil industry misinformation,policy_general,2.2
Oil industry misinformation,policy_specific_mean,1.8
Oil industry misinformation,behavior_mean,1.0
Oil industry misinformation,donation_ams,1.1
Oil industry misinformation,newsletter_signup,0.5
Measurement & modeling (1),trust_multidimensional,2.5
Measurement & modeling (1),trust_post,2.4
Measurement & modeling (1),distrust_post,-1.8
Measurement & modeling (1),funding_perceptions,0.8
Measurement & modeling (1),policy_role_mean,1.3
Measurement & modeling (1),inst_trust_mean,1.5
Measurement & modeling (1),belief_post,1.7
Measurement & modeling (1),concern_mean,1.1
Measurement & modeling (1),policy_general,1.0
Measurement & modeling (1),policy_specific_mean,0.9
Measurement & modeling (1),behavior_mean,0.5
Measurement & modeling (1),donation_ams,0.8
Measurement & modeling (1),newsletter_signup,0.3
Former skeptics,trust_multidimensional,2.6
Former skeptics,trust_post,2.7
